OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,DECADES,Shape__Area,Shape__Length,DURATION
104,2023,CA,CCO,VNC,TRAIL,00063257,2023-07-26 00:00:00+00:00,2023-07-27 00:00:00+00:00,Unknown Cause,3.0,1.0,1.655345,No Comments,2020,9795.05078125,785.699282226667,1
105,2023,CA,LRA,VNC,VILLANOVA,00056809,2023-07-05 00:00:00+00:00,2023-07-06 00:00:00+00:00,Unknown Cause,1.0,1.0,13.01236,No Comments,2020,77596.91015625,1574.08464907446,1
106,2023,CA,CCO,VNC,SOUTH,00105733,2023-12-09 00:00:00+00:00,2023-12-12 00:00:00+00:00,Unknown Cause,3.0,1.0,2715.4,"FIRIS flight 1100hrs
",2020,16143487.7421875,46856.1700438683,3
107,2023,CA,CDF,RRU,ROCK,00116806,2023-08-09 00:00:00+00:00,2023-08-10 00:00:00+00:00,Unknown Cause,1.0,1.0,531.0221, ,2020,3125684.390625,9266.77327412283,1
108,2023,CA,CDF,RRU,BONNY,00109851,2023-07-26 00:00:00+00:00,2023-08-07 00:00:00+00:00,Unknown Cause,1.0,1.0,2323.106,Auto-generated by EGP-IRWIN,2020,13545480.4726562,30310.0484777186,12
109,2023,CA,CDF,BEU,WILLIAMS,00005844,2023-10-06 00:00:00+00:00,2023-10-09 00:00:00+00:00,Campfire,7.0,1.0,53.9,No Comments,2020,334473.51171875,4810.72489922024,3
110,2023,CA,LRA,NEU,TANWOODS,00020208,2023-07-16 00:00:00+00:00,2023-07-16 00:00:00+00:00,Unknown Cause,4.0,1.0,9.532271,No Comments,2020,63489.2890625,1306.55259728356,0
111,2023,CA,LRA,NEU,FOOTHILLS,00022526,2023-08-05 00:00:00+00:00,2023-08-05 00:00:00+00:00,Unknown Cause,1.0,1.0,25.0,No Comments,2020,166830.6015625,2057.58620182663,0
112,2023,CA,LRA,NEU,BREWER,00019665,2023-07-11 00:00:00+00:00,2023-07-11 00:00:00+00:00,Unknown Cause,1.0,1.0,11.63,No Comments,2020,72340.890625,1438.59412432952,0
113,2023,CA,LRA,NEU,ERIC,00016161,2023-06-09 00:00:00+00:00,2023-06-09 00:00:00+00:00,Unknown Cause,1.0,1.0,44.0,No Comments,2020,297833.75,3808.76400735729,0
114,2023,CA,CDF,NEU,SPENCEVILLE,00021414,2023-07-26 00:00:00+00:00,2023-07-31 00:00:00+00:00,Lightning,1.0,1.0,10.8,No Comments,2020,71087.25,1270.33273404977,5
115,2023,CA,CDF,NEU,DOOLITTLE,00021981,2023-07-31 00:00:00+00:00,2023-07-31 00:00:00+00:00,Unknown Cause,1.0,1.0,16.6,No Comments,2020,16168.75390625,721.610566392573,0
116,2023,CA,CDF,TCU,GANN,00008603,2023-07-02 00:00:00+00:00,2023-07-02 00:00:00+00:00,Unknown Cause,1.0,1.0,106.0,No Comments,2020,689467.51953125,5341.28042082055,0
117,2023,CA,CDF,MEU,HAZEL,00010484,2023-08-29 00:00:00+00:00,2023-08-29 00:00:00+00:00,Other Causes,1.0,1.0,0.46,No Comments,2020,3168.8984375,219.283288108808,0
118,2023,CA,CDF,SLU,BITTER,00012683,2023-08-15 00:00:00+00:00,2023-08-16 00:00:00+00:00,Miscellaneous,1.0,1.0,695.1143,No Comments,2020,4249745.02734375,11155.5890220942,1
119,2023,CA,CDF,SLU,BEAR,00015095,2023-09-26 00:00:00+00:00,2023-09-26 00:00:00+00:00,Debris Burning,1.0,1.0,0.3076231,No Comments,2020,1873.50390625,190.523100788468,0
120,2023,CA,CDF,SLU,HILL,00016517,2023-10-21 00:00:00+00:00,2023-10-21 00:00:00+00:00,Miscellaneous,1.0,1.0,6.247237,No Comments,2020,38117.00390625,853.701855187138,0
121,2023,CA,CDF,SLU,ESTRELLA,00008889,2023-06-10 00:00:00+00:00,2023-06-10 00:00:00+00:00,Equipment Use,1.0,1.0,1.184759,No Comments,2020,7278.50390625,386.276613674756,0
122,2023,CA,CDF,SLU,GREEN,00015639,2023-10-06 00:00:00+00:00,2023-10-09 00:00:00+00:00,Structure,1.0,1.0,247.2606,No Comments,2020,1514331.9921875,6555.8168957239,3
123,2023,CA,CDF,SLU,SHORES,00013684,2023-09-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,Lightning,1.0,1.0,14.83849,No Comments,2020,91436.52734375,1464.35897895176,0
124,2023,CA,CDF,SLU,DIABLO,00016998,2023-10-30 00:00:00+00:00,2023-10-30 00:00:00+00:00,Lightning,1.0,1.0,25.73028,No Comments,2020,156659.0078125,2154.1185563484,0
125,2023,CA,CDF,SLU,SUMMIT,00017623,2023-11-10 00:00:00+00:00,2023-11-11 00:00:00+00:00,Unknown Cause,1.0,1.0,6.738468,No Comments,2020,40989.48046875,1206.44721854531,1
126,2023,CA,CDF,SLU,BRIDGE,00017715,2023-11-12 00:00:00+00:00,2023-11-12 00:00:00+00:00,Debris Burning,1.0,1.0,1.519355,No Comments,2020,9182.49609375,512.688216096683,0
127,2023,CA,CDF,SLU,ROCK,00008396,2023-06-01 00:00:00+00:00,2023-06-01 00:00:00+00:00,Lightning,1.0,1.0,3.37118,No Comments,2020,20769.66015625,606.999561211191,0
